[2026-03-27T14:07:04.965Z] GET http://127.0.0.1:4273/src/router.ts?t=1774620324637 → 200 (5ms, 2533B)
[2026-03-27T14:07:04.966Z] GET http://127.0.0.1:4273/node_modules/vite/dist/client/env.mjs → 200 (9ms, 3895B)
[2026-03-27T14:07:04.970Z] GET http://127.0.0.1:4273/node_modules/.vite/deps/chunk-Y2QQXEZR.js?v=23f29226 → 200 (29ms, 379881B)
[2026-03-27T14:07:04.974Z] GET http://127.0.0.1:4273/node_modules/.vite/deps/vue-router.js?v=23f29226 → 200 (22ms, 205820B)
[2026-03-27T14:07:04.974Z] GET http://127.0.0.1:4273/src/views/HomeOverview.vue → 200 (20ms, 13006B)
[2026-03-27T14:07:04.974Z] GET http://127.0.0.1:4273/src/views/SpotsOverview.vue?t=1774618027091 → 200 (21ms, 13685B)
[2026-03-27T14:07:04.974Z] GET http://127.0.0.1:4273/src/views/SmartRecommend.vue?t=1774620324637 → 200 (22ms, 24162B)
[2026-03-27T14:07:04.974Z] GET http://127.0.0.1:4273/src/views/RouteDetail.vue?t=1774620324637 → 200 (21ms, 14904B)
[2026-03-27T14:07:04.974Z] GET http://127.0.0.1:4273/src/views/TripResult.vue?t=1774618027091 → 200 (22ms, 20721B)
[2026-03-27T14:07:04.975Z] GET http://127.0.0.1:4273/@id/__x00__plugin-vue:export-helper → 200 (20ms, 1074B)
[2026-03-27T14:07:05.005Z] GET http://127.0.0.1:4273/src/components/TopNav.vue → 200 (5ms, 7647B)
[2026-03-27T14:07:05.006Z] GET http://127.0.0.1:4273/src/data/spots.ts → 200 (5ms, 12516B)
[2026-03-27T14:07:05.006Z] GET http://127.0.0.1:4273/src/utils/home-overview.ts → 200 (5ms, 5782B)
[2026-03-27T14:07:05.006Z] GET http://127.0.0.1:4273/src/state/planner.ts?t=1774618027091 → 200 (10ms, 20661B)
[2026-03-27T14:07:05.006Z] GET http://127.0.0.1:4273/src/components/RouteDemoCanvas.vue?t=1774620324637 → 200 (12ms, 60856B)
[2026-03-27T14:07:05.006Z] GET http://127.0.0.1:4273/src/utils/demo-visual.ts?t=1774620324637 → 200 (11ms, 51456B)
[2026-03-27T14:07:05.006Z] GET http://127.0.0.1:4273/src/utils/trip-result.ts → 200 (6ms, 2286B)
[2026-03-27T14:07:05.017Z] GET http://127.0.0.1:4273/src/data/graph.ts → 200 (2ms, 2754B)
[2026-03-27T14:07:05.017Z] GET http://127.0.0.1:4273/src/utils/dijkstra.ts?t=1774618027091 → 200 (2ms, 29556B)
[2026-03-27T14:07:05.019Z] GET http://127.0.0.1:4273/src/utils/route-visual.ts → 200 (12ms, 4509B)
[2026-03-27T14:07:05.019Z] GET http://127.0.0.1:4273/src/components/ScenicNodeIcon.vue → 200 (13ms, 23529B)
[2026-03-27T14:07:05.019Z] GET http://127.0.0.1:4273/src/utils/demo-edge-render.ts?t=1774618614912 → 200 (13ms, 27174B)
[2026-03-27T14:07:05.019Z] GET http://127.0.0.1:4273/src/utils/demo-playback.ts → 200 (12ms, 3170B)
[2026-03-27T14:07:05.032Z] GET http://127.0.0.1:4273/src/data/spot-icons.ts → 200 (1ms, 5396B)
[2026-03-27T14:07:05.078Z] GET http://127.0.0.1:4273/images/spots/henan-museum.png → 304 (13ms, ?B)
[2026-03-27T14:07:05.078Z] GET http://127.0.0.1:4273/images/spots/shaolin-temple.png → 304 (14ms, ?B)
[2026-03-27T14:07:05.078Z] GET http://127.0.0.1:4273/images/spots/songyang-academy.png → 304 (14ms, ?B)
[2026-03-27T14:07:05.084Z] GET http://127.0.0.1:4273/images/spots/longmen-grottoes.png → 304 (8ms, ?B)
[2026-03-27T14:07:05.084Z] GET http://127.0.0.1:4273/images/spots/white-horse-temple.png → 304 (9ms, ?B)
[2026-03-27T14:07:05.084Z] GET http://127.0.0.1:4273/images/spots/laojun-mountain.png → 304 (9ms, ?B)
[2026-03-27T14:07:05.084Z] GET http://127.0.0.1:4273/images/spots/qingming-garden.png → 304 (9ms, ?B)
[2026-03-27T14:07:05.084Z] GET http://127.0.0.1:4273/images/spots/baogong-temple.png → 304 (9ms, ?B)
[2026-03-27T14:07:05.084Z] GET http://127.0.0.1:4273/images/spots/yinxu.png → 304 (10ms, ?B)
[2026-03-27T14:07:05.084Z] GET http://127.0.0.1:4273/images/spots/hongqi-canal.png → 304 (12ms, ?B)
[2026-03-27T14:07:05.084Z] GET http://127.0.0.1:4273/images/spots/yuntai-mountain.png → 304 (12ms, ?B)
[2026-03-27T14:07:05.084Z] GET http://127.0.0.1:4273/images/spots/yisheng-temple.png → 304 (13ms, ?B)
[2026-03-27T14:07:05.084Z] GET http://127.0.0.1:4273/images/spots/erqi-tower.png → 304 (13ms, ?B)
[2026-03-27T14:07:05.084Z] GET http://127.0.0.1:4273/images/spots/luoyang-museum.png → 304 (13ms, ?B)
[2026-03-27T14:07:05.085Z] GET http://127.0.0.1:4273/images/spots/iron-pagoda-park.png → 304 (12ms, ?B)
[2026-03-27T14:07:05.085Z] GET http://127.0.0.1:4273/images/spots/wolonggang-wuhou-temple.png → 304 (13ms, ?B)
[2026-03-27T14:07:05.085Z] GET http://127.0.0.1:4273/images/generated-1772603764558.png → 304 (13ms, ?B)
[2026-03-27T14:07:05.085Z] GET http://127.0.0.1:4273/images/generated-1772603741176.png → 304 (13ms, ?B)
[2026-03-27T14:07:05.085Z] GET http://127.0.0.1:4273/images/generated-1772603747022.png → 304 (13ms, ?B)
[2026-03-27T14:07:05.085Z] GET http://127.0.0.1:4273/images/generated-1772603753074.png → 304 (14ms, ?B)
[2026-03-27T14:07:05.085Z] GET http://127.0.0.1:4273/images/generated-1772604025805.png → 304 (14ms, ?B)
[2026-03-27T14:07:05.085Z] GET http://127.0.0.1:4273/images/generated-1772603866990.png → 304 (14ms, ?B)
[2026-03-27T14:07:05.085Z] GET https://images.unsplash.com/photo-1692892719022-f58c063924ca?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDM0ODN8MHwxfHJhbmRvbXx8fHx8fHx8fDE3NzI2MDExMDl8&ixlib=rb-4.1.0&q=80&w=1080 → 200 (?ms, 170698B)
[2026-03-27T14:20:24.268Z] GET http://127.0.0.1:4273/src/views/RouteDetail.vue?t=1774621224255 → 200 (11ms, 14904B)
[2026-03-27T14:20:24.268Z] GET http://127.0.0.1:4273/src/views/SmartRecommend.vue?t=1774621224255 → 200 (13ms, 24162B)
[2026-03-27T14:20:24.268Z] GET http://127.0.0.1:4273/src/components/RouteDemoCanvas.vue?t=1774621224255 → pending (?ms, ?B)
[2026-03-27T14:20:24.280Z] GET http://127.0.0.1:4273/src/utils/demo-visual.ts?t=1774621224255 → pending (?ms, ?B)
